카테고리,상품명,가격,상품,상세,열량(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),트랜스지방(mg),콜레스테롤(mg),나트륨(mg),칼슘(g),,,,,,,,,
캔디/사탕/젤리,하리보 골드베렌구미 100g,1500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/하리보 골드베렌구미 100g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/하리보 골드베렌구미 100g_상세.png,338,77.4,45.6,6.9,0.1,0.1,0,0,30,0,,,,,,,,,
캔디/사탕/젤리,해태 연양갱 50g 10묶음,5300,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 연양갱 50g 10묶음_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 연양갱 50g 10묶음_상세.png,145,34,25,2,0,0,0,0,0,0,,,,,,,,,
캔디/사탕/젤리,오리온 비틀즈 57g,850,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 비틀즈 57g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 비틀즈 57g_상세.png,235,49,36,1g 미만,4.1,4,0,5g 미만,5,0,,,,,,,,,
캔디/사탕/젤리,오리온 아이셔 캔디 소다맛 42g 14p,950,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 아이셔 캔디 소다맛 42g 14p_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 아이셔 캔디 소다맛 42g 14p_상세.png,177,35,30,0,4.1,2.8,0,0,40,0,,,,,,,,,
캔디/사탕/젤리,오리온 아이셔 캔디 청사과맛 42g 14p,950,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 아이셔 캔디 청사과맛 42g 14p_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 아이셔 캔디 청사과맛 42g 14p_상세.png,177,35,30,0,4.1,2.7,0,0,40,0,,,,,,,,,
캔디/사탕/젤리,오리온 왕꿈틀이 80g,1100,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 왕꿈틀이 80g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 왕꿈틀이 80g_상세.png,252,58,43,5,0,0,0,0,25,0,,,,,,,,,
캔디/사탕/젤리,오리온 젤리데이 포도 복숭아 76g,1100,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 젤리데이 포도 복숭아 76g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 젤리데이 포도 복숭아 76g_상세.png,248,49,48,3,0,0,0,0,60,0,,,,,,,,,
캔디/사탕/젤리,청우 제리 종합 450g,4200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/청우 제리 종합 450g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/청우 제리 종합 450g_상세.png,442,86,67,1,11,5,0,0,15,0,,,,,,,,,
캔디/사탕/젤리,오리온 통아몬드 90g,1600,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 통아몬드 90g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 통아몬드 90g_상세.png,494,51,45,5,30,12,0,0,170,0,,,,,,,,,
캔디/사탕/젤리,청우 캔디 종합 450g,4200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/청우 캔디 종합 450g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/청우 캔디 종합 450g_상세.png,442,86,67,1,11,5,0,0,15,0,,,,,,,,,
캔디/사탕/젤리,해태 썬키스트 125g,1400,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 썬키스트 125g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 썬키스트 125g_상세.png,40,5,4,3,0.8,0.5,0,5mg 미만,30,80mg,,,,,,,,,
캔디/사탕/젤리,해태 알사탕 90g,1400,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 알사탕 90g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 알사탕 90g_상세.png,20,4,2.6,0.1,0.4,0.1,0,0.1,15,0,,,,,,,,,
캔디/사탕/젤리,해태 자두캔디 130g,1700,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 자두캔디 130g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/해태 자두캔디 130g_상세.png,40,5,4,3,0.8,0.5,0,5mg 미만,30,80,,,,,,,,,
캔디/사탕/젤리,페를레디솔레 포지타노 레몬 사탕 캔디 20g,7200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/페를레디솔레 포지타노 레몬 사탕 캔디 20g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/페를레디솔레 포지타노 레몬 사탕 캔디 20g_상세.png,797,196,134,0,0,0,0,0,0,182,,,,,,,,,
캔디/사탕/젤리,초이스엘 무설탕 청포도캔디 40g,1590,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/초이스엘 무설탕 청포도캔디 40g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/초이스엘 무설탕 청포도캔디 40g_상세.png,100,40,0,0,0,0,0,0,0,0,,,,,,,,,
캔디/사탕/젤리,농심 츄파춥스 미니 300g 50개입,5280,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/농심 츄파춥스 미니 300g 50개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/농심 츄파춥스 미니 300g 50개입_상세.png,50,12,10,0,0,0,0,0,25,0,,,,,,,,,
캔디/사탕/젤리,마즈 이클립스 페퍼민트 34g,2200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/마즈 이클립스 페퍼민트 34g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/마즈 이클립스 페퍼민트 34g_상세.png,80,33,0,0,0,0,0,0,0,0,,,,,,,,,
캔디/사탕/젤리,마요라 코피코 슈가프리 커피캔디 75g,1750,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/마요라 코피코 슈가프리 커피캔디 75g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/마요라 코피코 슈가프리 커피캔디 75g_상세.png,328,65.3,0.3675,0.7,7.1,6,0,0,67.5,0,,,,,,,,,
캔디/사탕/젤리,정관장 무설탕 홍삼캔디수 600g,28000,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/정관장 무설탕 홍삼캔디수 600g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/정관장 무설탕 홍삼캔디수 600g_상세.png,10,4,4,0,0,0,0,0,0,0,,,,,,,,,
초콜릿,트윅스 미니스 초코바 990g 99p,16950,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/트윅스 미니스 초코바 990g 99p_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/트윅스 미니스 초코바 990g 99p_상세.png,55,7,5,1g 미만,2.4,1.4,0,0,16,0,,,,,,,,,
